2021.4.5 14:45:42:842   leftController:(0.01, 1.10, 0.30)  rightController:(-0.17, 1.03, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.05)  headset:(-0.07, 1.53, 0.06)
2021.4.5 14:45:42:854   leftController:(0.01, 1.10, 0.30)  rightController:(-0.18, 1.03, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.07, 1.53, 0.06)
2021.4.5 14:45:42:878   leftController:(0.01, 1.10, 0.30)  rightController:(-0.18, 1.03, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.07, 1.53, 0.05)
2021.4.5 14:45:42:906   leftController:(0.01, 1.10, 0.30)  rightController:(-0.18, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.07, 1.53, 0.05)
2021.4.5 14:45:42:925   leftController:(0.01, 1.10, 0.30)  rightController:(-0.19, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.07, 1.53, 0.05)
2021.4.5 14:45:42:944   leftController:(0.01, 1.10, 0.30)  rightController:(-0.19, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.07, 1.53, 0.05)
2021.4.5 14:45:42:955   leftController:(0.01, 1.10, 0.30)  rightController:(-0.19, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:42:967   leftController:(0.01, 1.10, 0.30)  rightController:(-0.19, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:42:978   leftController:(0.01, 1.10, 0.30)  rightController:(-0.20, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:42:989   leftController:(0.01, 1.10, 0.30)  rightController:(-0.20, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:02   leftController:(0.01, 1.10, 0.30)  rightController:(-0.20, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:16   leftController:(0.01, 1.10, 0.30)  rightController:(-0.20, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:30   leftController:(0.01, 1.09, 0.30)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:46   leftController:(0.01, 1.09, 0.30)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:55   leftController:(0.01, 1.09, 0.30)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:64   leftController:(0.01, 1.09, 0.30)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:73   leftController:(0.01, 1.09, 0.30)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.04)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:83   leftController:(0.01, 1.08, 0.30)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.03)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:94   leftController:(0.01, 1.08, 0.29)  rightController:(-0.21, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.14, 0.20, 0.03)  headset:(-0.08, 1.53, 0.05)
2021.4.5 14:45:43:113   leftController:(0.01, 1.08, 0.29)  rightController:(-0.22, 1.04, 0.30)  leftTracker:(-0.12, 0.16, 0.03)  rightTracker:(0.13, 0.20, 0.03)  headset:(-0.08, 1.53, 0.05)
