2021.4.5 14:54:28:362   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:382   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:404   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:431   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:451   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:473   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:493   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:516   leftController:(0.24, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:541   leftController:(0.25, 1.14, 0.28)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:564   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:587   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:606   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:616   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:627   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.54, -0.03)
2021.4.5 14:54:28:641   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:653   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:662   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:673   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:683   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.16, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:696   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:706   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.11, 1.53, -0.03)
2021.4.5 14:54:28:718   leftController:(0.24, 1.14, 0.27)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.03)
2021.4.5 14:54:28:738   leftController:(0.25, 1.14, 0.27)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.03)
2021.4.5 14:54:28:750   leftController:(0.25, 1.14, 0.27)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.04)
2021.4.5 14:54:28:763   leftController:(0.25, 1.14, 0.27)  rightController:(-0.07, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.04)
2021.4.5 14:54:28:772   leftController:(0.25, 1.14, 0.27)  rightController:(-0.06, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.04)
2021.4.5 14:54:28:782   leftController:(0.25, 1.14, 0.27)  rightController:(-0.06, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.04)
2021.4.5 14:54:28:791   leftController:(0.25, 1.14, 0.27)  rightController:(-0.06, 1.15, 0.31)  leftTracker:(-0.01, 0.19, -0.08)  rightTracker:(0.18, 0.20, -0.09)  headset:(0.10, 1.53, -0.04)
