2021.4.5 20:06:55:409   leftController:(0.40, 1.07, 0.29)  rightController:(-0.16, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.10)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:418   leftController:(0.40, 1.07, 0.29)  rightController:(-0.16, 1.03, 0.16)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:432   leftController:(0.40, 1.07, 0.29)  rightController:(-0.16, 1.03, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:442   leftController:(0.40, 1.07, 0.29)  rightController:(-0.17, 1.03, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:451   leftController:(0.40, 1.08, 0.29)  rightController:(-0.17, 1.03, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:462   leftController:(0.40, 1.08, 0.30)  rightController:(-0.17, 1.03, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.28, 0.24, -0.09)  headset:(0.12, 1.59, -0.03)
2021.4.5 20:06:55:473   leftController:(0.40, 1.08, 0.30)  rightController:(-0.17, 1.03, 0.17)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:484   leftController:(0.40, 1.08, 0.30)  rightController:(-0.17, 1.03, 0.18)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:500   leftController:(0.40, 1.08, 0.31)  rightController:(-0.18, 1.03, 0.18)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
2021.4.5 20:06:55:511   leftController:(0.40, 1.08, 0.31)  rightController:(-0.18, 1.03, 0.18)  leftTracker:(0.03, 0.24, -0.18)  rightTracker:(0.27, 0.24, -0.09)  headset:(0.12, 1.59, -0.04)
