2021.4.5 20:28:11:600   leftController:(-0.02, 1.16, 0.43)  rightController:(0.34, 1.13, 0.44)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.18)
2021.4.5 20:28:11:612   leftController:(-0.02, 1.16, 0.43)  rightController:(0.34, 1.13, 0.44)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.18)
2021.4.5 20:28:11:623   leftController:(-0.02, 1.17, 0.42)  rightController:(0.34, 1.14, 0.44)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.18, 1.61, 0.18)
2021.4.5 20:28:11:631   leftController:(-0.02, 1.17, 0.42)  rightController:(0.34, 1.15, 0.43)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.61, 0.18)
2021.4.5 20:28:11:642   leftController:(-0.02, 1.18, 0.41)  rightController:(0.34, 1.15, 0.43)  leftTracker:(-0.07, 0.24, 0.05)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.61, 0.18)
2021.4.5 20:28:11:654   leftController:(-0.02, 1.19, 0.41)  rightController:(0.34, 1.16, 0.42)  leftTracker:(-0.07, 0.24, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.61, 0.18)
2021.4.5 20:28:11:667   leftController:(-0.03, 1.19, 0.40)  rightController:(0.34, 1.16, 0.42)  leftTracker:(-0.07, 0.24, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.61, 0.18)
2021.4.5 20:28:11:677   leftController:(-0.03, 1.20, 0.40)  rightController:(0.34, 1.17, 0.42)  leftTracker:(-0.07, 0.24, 0.07)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.61, 0.18)
2021.4.5 20:28:11:690   leftController:(-0.03, 1.20, 0.39)  rightController:(0.34, 1.17, 0.41)  leftTracker:(-0.07, 0.24, 0.07)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:701   leftController:(-0.03, 1.21, 0.39)  rightController:(0.33, 1.17, 0.41)  leftTracker:(-0.07, 0.24, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:709   leftController:(-0.03, 1.21, 0.39)  rightController:(0.33, 1.17, 0.41)  leftTracker:(-0.07, 0.24, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:720   leftController:(-0.03, 1.21, 0.39)  rightController:(0.33, 1.17, 0.41)  leftTracker:(-0.07, 0.24, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:732   leftController:(-0.03, 1.21, 0.38)  rightController:(0.33, 1.17, 0.41)  leftTracker:(-0.07, 0.25, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:742   leftController:(-0.03, 1.21, 0.38)  rightController:(0.32, 1.17, 0.41)  leftTracker:(-0.07, 0.25, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:754   leftController:(-0.03, 1.21, 0.38)  rightController:(0.32, 1.16, 0.41)  leftTracker:(-0.07, 0.25, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
2021.4.5 20:28:11:770   leftController:(-0.03, 1.20, 0.38)  rightController:(0.32, 1.16, 0.41)  leftTracker:(-0.08, 0.25, 0.06)  rightTracker:(0.21, 0.23, 0.04)  headset:(0.19, 1.60, 0.19)
