2021.4.5 20:15:00:908   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.04, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:916   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.03, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:925   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.03, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:934   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.03, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:946   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.03, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:960   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.03, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:969   leftController:(-0.03, 1.10, 0.21)  rightController:(0.21, 1.03, 0.19)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:979   leftController:(-0.03, 1.10, 0.20)  rightController:(0.21, 1.03, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:00:991   leftController:(-0.03, 1.10, 0.20)  rightController:(0.21, 1.03, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
2021.4.5 20:15:01:01   leftController:(-0.03, 1.10, 0.20)  rightController:(0.21, 1.03, 0.18)  leftTracker:(-0.06, 0.22, -0.08)  rightTracker:(0.17, 0.21, -0.07)  headset:(0.08, 1.66, -0.01)
