2021.4.4 16:38:03:163   leftController:(-0.10, 1.20, 0.46)  rightController:(-0.32, 1.18, 0.45)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:174   leftController:(-0.09, 1.20, 0.46)  rightController:(-0.31, 1.18, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:185   leftController:(-0.09, 1.20, 0.46)  rightController:(-0.31, 1.18, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:197   leftController:(-0.08, 1.21, 0.46)  rightController:(-0.30, 1.19, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:207   leftController:(-0.08, 1.21, 0.45)  rightController:(-0.30, 1.19, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:218   leftController:(-0.08, 1.21, 0.45)  rightController:(-0.29, 1.19, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.72, 0.22)
2021.4.4 16:38:03:229   leftController:(-0.08, 1.21, 0.45)  rightController:(-0.29, 1.19, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.73, 0.22)
2021.4.4 16:38:03:241   leftController:(-0.08, 1.22, 0.45)  rightController:(-0.28, 1.18, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.73, 0.21)
2021.4.4 16:38:03:253   leftController:(-0.08, 1.22, 0.45)  rightController:(-0.28, 1.18, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.73, 0.21)
2021.4.4 16:38:03:263   leftController:(-0.08, 1.22, 0.46)  rightController:(-0.27, 1.17, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.73, 0.21)
2021.4.4 16:38:03:276   leftController:(-0.08, 1.22, 0.46)  rightController:(-0.27, 1.17, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.73, 0.21)
2021.4.4 16:38:03:289   leftController:(-0.08, 1.22, 0.46)  rightController:(-0.26, 1.16, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.24, 1.73, 0.21)
2021.4.4 16:38:03:297   leftController:(-0.08, 1.22, 0.46)  rightController:(-0.26, 1.15, 0.44)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.74, 0.73, 1.71)  headset:(-0.23, 1.73, 0.21)
