2021.4.4 16:53:15:532   leftController:(0.04, 1.10, 0.19)  rightController:(-0.16, 1.13, 0.20)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:558   leftController:(0.04, 1.10, 0.19)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:576   leftController:(0.04, 1.10, 0.19)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:600   leftController:(0.04, 1.10, 0.19)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:610   leftController:(0.04, 1.10, 0.19)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:621   leftController:(0.04, 1.10, 0.19)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:639   leftController:(0.04, 1.10, 0.19)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:649   leftController:(0.04, 1.10, 0.18)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:661   leftController:(0.04, 1.09, 0.18)  rightController:(-0.15, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:670   leftController:(0.04, 1.09, 0.18)  rightController:(-0.14, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:680   leftController:(0.04, 1.09, 0.18)  rightController:(-0.14, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:690   leftController:(0.04, 1.09, 0.18)  rightController:(-0.14, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:701   leftController:(0.04, 1.09, 0.18)  rightController:(-0.14, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:712   leftController:(0.04, 1.09, 0.18)  rightController:(-0.14, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
2021.4.4 16:53:15:722   leftController:(0.04, 1.09, 0.18)  rightController:(-0.14, 1.13, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.03, 1.56, -0.01)
