2021.4.11 19:24:46:89   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.03, 0.02)  rightControllerVel:(0.00, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:100   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.24, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.03, 0.02)  rightControllerVel:(0.01, -0.04, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:111   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(0.01, -0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:120   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.03, 0.01)  rightControllerVel:(0.01, -0.05, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:131   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:142   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:154   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.01, -0.02, 0.01)  rightControllerVel:(0.01, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:165   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.02, 0.02)  rightControllerVel:(0.01, -0.07, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:177   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.01, 0.02)  rightControllerVel:(0.01, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.11 19:24:46:194   leftController:(0.38, 1.24, 0.20)  rightController:(0.18, 1.23, 0.23)  leftTracker:(0.12, 0.17, -0.12)  rightTracker:(0.37, 0.19, -0.14)  headset:(0.29, 1.61, -0.05)  leftControllerVel:(0.00, -0.01, 0.01)  rightControllerVel:(0.02, -0.06, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
