2021.4.10 10:06:24:46   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.24, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.02, -0.01)  rightControllerVel:(0.02, -0.20, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:58   leftController:(0.07, 1.04, -0.31)  rightController:(0.33, 1.23, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.02, -0.01)  rightControllerVel:(0.02, -0.20, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:68   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.23, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.02, -0.01)  rightControllerVel:(0.02, -0.19, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:82   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.23, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.69, -0.48)  leftControllerVel:(-0.05, 0.02, -0.01)  rightControllerVel:(0.02, -0.19, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:97   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.23, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.68, -0.48)  leftControllerVel:(-0.05, 0.01, -0.01)  rightControllerVel:(0.03, -0.18, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:106   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.23, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.68, -0.48)  leftControllerVel:(-0.05, 0.01, -0.01)  rightControllerVel:(0.03, -0.18, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:114   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.22, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.68, -0.48)  leftControllerVel:(-0.05, 0.01, -0.01)  rightControllerVel:(0.03, -0.18, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:124   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.22, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.68, -0.48)  leftControllerVel:(-0.05, 0.01, 0.00)  rightControllerVel:(0.03, -0.18, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:135   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.22, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.68, -0.48)  leftControllerVel:(-0.05, 0.01, 0.00)  rightControllerVel:(0.03, -0.18, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.4.10 10:06:24:148   leftController:(0.06, 1.04, -0.31)  rightController:(0.33, 1.22, -0.30)  leftTracker:(0.07, 0.19, -0.61)  rightTracker:(0.43, 0.18, -0.62)  headset:(0.16, 1.68, -0.48)  leftControllerVel:(-0.05, 0.01, 0.00)  rightControllerVel:(0.04, -0.19, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
